gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	subtype
Rnaseh2c	6.531136364007228e-99	-0.29576140705464227	0.064	0.374	1.3750001387144417e-94	2.0378271951225892e-104	-0.3117141406348808	0.105	0.456	4.290237593891587e-100	6.531136364007228e-99	4.0756543902452403e-104	BEC
Ctsl	1.1630166098674462e-59	-0.5095099019728998	0.7	0.768	2.4484988687539344e-55	2.385351665307833e-101	-0.6393256765619032	0.71	0.868	5.02188086097258e-97	1.1630166098674462e-59	4.7707033306156323e-101	BEC
Tle5	3.025188318289583e-98	-0.6691939452297746	0.42	0.683	6.36892896649506e-94	1.9526086746847108e-71	-0.5610871902274583	0.458	0.685	4.1108270428137217e-67	1.9526086746847108e-71	6.05037663657921e-98	BEC
Tmem176a	1.0395563654752414e-78	-0.6651084274995913	0.481	0.687	2.1885780162350255e-74	5.29977052701533e-96	-0.6819598588739286	0.527	0.76	1.1157606890525374e-91	1.0395563654752414e-78	1.0599541054030545e-95	BEC
H3f3a	1.6948610140039125e-85	-0.3697671222326928	0.793	0.83	3.568190892782437e-81	4.8180352850729425e-95	-0.4046678890756483	0.813	0.859	1.0143409685664065e-90	1.6948610140039125e-85	9.636070570145989e-95	BEC
Jam3	3.243163014128402e-72	-0.5475345977934961	0.186	0.47	6.827831093644525e-68	7.779441510628638e-95	-0.5275629477949673	0.174	0.522	1.6378058212326473e-90	3.243163014128402e-72	1.55588830212572e-94	BEC
Atp2b4	3.639392861938285e-94	-0.3820095767105315	0.091	0.413	7.662013792238671e-90	5.852856457800932e-66	-0.25877175877136527	0.13	0.429	1.2322018700608303e-61	5.852856457800932e-66	7.278785723876558e-94	BEC
Prnd	1.2153817938458878e-49	-0.2875308958109848	0.025	0.176	2.5587432905837475e-45	2.4167827774267293e-93	-0.41744568876158594	0.049	0.298	5.088052781316493e-89	1.2153817938458878e-49	4.83356555485342e-93	BEC
Tspan13	6.420744987660258e-93	-0.6652793851659955	0.237	0.582	1.351759442252114e-88	1.5590787262747352e-46	-0.4167658902757558	0.322	0.602	3.2823284424262e-42	1.5590787262747352e-46	1.2841489975320643e-92	BEC
Gm13889	1.2391982469576857e-56	-0.5166518178574372	0.226	0.502	2.608884069320016e-52	2.4073504273483818e-89	-0.6825919784394525	0.244	0.617	5.068194854696548e-85	1.2391982469576857e-56	4.81470085469678e-89	BEC
C1qtnf9	3.444307093961942e-89	-0.46105081859586605	0.059	0.342	7.251299724918076e-85	1.031964661767792e-49	-0.2787387213836594	0.102	0.338	2.1725952024197325e-45	1.031964661767792e-49	6.888614187923859e-89	BEC
Pde2a	8.53555282388292e-89	-0.5171318789304357	0.182	0.514	1.796989936012071e-84	8.341228535823204e-46	-0.3594861746876288	0.274	0.538	1.756078843646859e-41	8.341228535823204e-46	1.707110564776607e-88	BEC
Abcb1a	3.6995931456907916e-88	-0.453297132614242	0.13	0.446	7.788753449622824e-84	1.4691766055256215e-60	-0.3274031074998535	0.179	0.472	3.093057507613091e-56	1.4691766055256215e-60	7.399186291381693e-88	BEC
Ccl21a	3.62439827512055e-6	-0.3705845328515016	0.578	0.582	0.07630445688611294	7.171414520104579e-87	-0.8745380337047068	0.607	0.909	1.509797898917617e-82	3.62439827512055e-6	1.4342829040209067e-86	BEC
Ier2	8.714454392143899e-86	-0.46457050592389004	0.757	0.835	1.834654083178055e-81	5.601447361076846e-47	-0.36043031200536446	0.764	0.797	1.1792727129275084e-42	5.601447361076846e-47	1.7428908784287863e-85	BEC
Cavin2	1.0020683595703338e-84	-0.7685345638992612	0.25	0.592	2.109654517403424e-80	1.1857224380374746e-33	-0.41414390489354047	0.302	0.559	2.4963014488002954e-29	1.1857224380374746e-33	2.0041367191406503e-84	BEC
Dpysl2	3.3188446793120824e-84	-0.543232556330695	0.261	0.576	6.987163703355728e-80	1.9310193379655782e-53	-0.44535933262090943	0.317	0.578	4.065375012218932e-49	1.9310193379655782e-53	6.637689358624105e-84	BEC
Pdcd4	1.033129321053232e-83	-0.4017584237192935	0.134	0.455	2.1750471596133696e-79	7.706666467272911e-66	-0.3463116652822381	0.16	0.458	1.622484491354966e-61	7.706666467272911e-66	2.0662586421064575e-83	BEC
Myl12b	1.2157757435039532e-83	-0.6334598905640394	0.479	0.701	2.5595726727988726e-79	2.5660721332362765e-75	-0.6169623636412808	0.486	0.7	5.402351662102333e-71	2.5660721332362765e-75	2.431551487007879e-83	BEC
Selenom	1.4923525161047466e-82	-0.481838447687939	0.172	0.492	3.141849752155323e-78	5.880295483378533e-62	-0.3984932078710708	0.222	0.524	1.2379786081156826e-57	5.880295483378533e-62	2.984705032209519e-82	BEC
Gpx4	3.3567652295362047e-82	-0.6537641654438204	0.48	0.677	7.066997837742572e-78	5.589829565693673e-70	-0.5840694293594783	0.521	0.702	1.176826818465489e-65	5.589829565693673e-70	6.713530459072456e-82	BEC
Gm2a	4.735004835610273e-55	-0.25286095755549876	0.083	0.315	9.968605680410307e-51	4.246248899817621e-81	-0.30788151790386575	0.083	0.364	8.939627808786037e-77	4.735004835610273e-55	8.492497799635224e-81	BEC
Glycam1	2.222990231791355e-33	-0.35691917925016203	0.98	0.99	4.680061334990339e-29	5.578204363594809e-79	-0.6127730437599099	0.981	1	1.1743793646676151e-74	2.222990231791355e-33	1.1156408727189585e-78	BEC
Cracr2b	2.1382915808703e-78	-0.4722020846891689	0.237	0.543	4.501745265206243e-74	1.2421420919327863e-47	-0.3435648306698482	0.261	0.526	2.615081746146095e-43	1.2421420919327863e-47	4.2765831617405675e-78	BEC
Crip2	1.7137760651422806e-76	-0.5066800428661019	0.658	0.784	3.6080127499440436e-72	2.2510009184393408e-51	-0.4243621891938405	0.673	0.745	4.739032233590345e-47	2.2510009184393408e-51	3.427552130284613e-76	BEC
Btnl9	9.003935704156695e-75	-0.5518645511637288	0.074	0.333	1.895598583796109e-70	3.932091795885841e-50	-0.39823448144722084	0.105	0.331	8.27823285787846e-46	3.932091795885841e-50	1.800787140831322e-74	BEC
Gng11	9.632081915719196e-75	-0.4172509876811612	0.758	0.823	2.0278422057163625e-70	4.355374906479992e-62	-0.3493651546665326	0.816	0.857	9.169370790612327e-58	4.355374906479992e-62	1.9264163831438436e-74	BEC
Cotl1	2.2896234296331214e-37	-0.40943050639801515	0.249	0.452	4.8203442064066104e-33	8.184045504550845e-74	-0.5355667941438331	0.252	0.565	1.7229871000730894e-69	2.2896234296331214e-37	1.6368091009101762e-73	BEC
Cst3	1.4714656317653036e-72	-0.5502156529153498	0.691	0.776	3.097876594555494e-68	6.294246909076698e-48	-0.36108983748705126	0.774	0.818	1.3251278017679173e-43	6.294246909076698e-48	2.9429312635306343e-72	BEC
Smarca2	5.119695860030569e-72	-0.5122038679671238	0.228	0.514	1.0778495694122357e-67	2.393380803512643e-53	-0.4072099718214892	0.278	0.54	5.038784605635167e-49	2.393380803512643e-53	1.0239391720061085e-71	BEC
Snhg18	4.256364208219853e-53	-0.3081863360654262	0.075	0.287	8.960923567565257e-49	6.697309496361765e-72	-0.36872177887874297	0.099	0.368	1.4099845682690423e-67	4.256364208219853e-53	1.3394618992723664e-71	BEC
Fabp4	6.323532027910566e-71	-0.8029409037892401	0.579	0.789	1.3312931978360116e-66	1.2660571653460414e-49	-0.5531680337918474	0.689	0.899	2.6654301502030208e-45	1.2660571653460414e-49	1.2647064055821232e-70	BEC
Ifi27	6.772684126327636e-29	-0.3541703432306521	0.381	0.512	1.4258531891157573e-24	7.737360115741384e-71	-0.4946862720505639	0.294	0.584	1.6289464251670335e-66	6.772684126327636e-29	1.547472023148281e-70	BEC
Dap	1.8029703869412303e-69	-0.3006297180820835	0.109	0.388	3.7957935556273723e-65	1.7337574571405594e-69	-0.2668976724797621	0.106	0.385	3.6500795745180196e-65	1.8029703869412303e-69	3.467514914281115e-69	BEC
Gask1b	1.788379589725162e-69	-0.41188889318417504	0.14	0.429	3.765075550248384e-65	1.4405094407078155e-39	-0.2922020106617246	0.197	0.447	3.032704525522164e-35	1.4405094407078155e-39	3.576759179450346e-69	BEC
Tspan12	2.480278280231944e-69	-0.3530923858716648	0.132	0.416	5.221729863372312e-65	1.2737204521940546e-57	-0.2544851156698085	0.129	0.397	2.681563668004143e-53	1.2737204521940546e-57	4.960556560463889e-69	BEC
Slc29a1	1.8710578198890218e-49	-0.34137097843831843	0.183	0.421	3.9391380282123575e-45	3.213318619392801e-69	-0.3112201539327144	0.165	0.476	6.764999689407664e-65	1.8710578198890218e-49	6.426637238785537e-69	BEC
Ak3	3.7590068680319574e-69	-0.34112832800980186	0.132	0.416	7.91383715926768e-65	3.7376924488703314e-63	-0.2747016911189629	0.144	0.439	7.8689639126067085e-59	3.7376924488703314e-63	7.518013736063918e-69	BEC
Psap	4.0130307695089866e-69	-0.48597322604285165	0.655	0.742	8.44863367904727e-65	6.283689681777304e-40	-0.3317210140073421	0.723	0.752	1.322905188704576e-35	6.283689681777304e-40	8.026061539017923e-69	BEC
H2afv	5.330719327701573e-69	-0.43616330871698245	0.215	0.504	1.1222763400610122e-64	6.48238073560054e-61	-0.3893002704543398	0.246	0.551	1.3647356162659817e-56	6.48238073560054e-61	1.0661438655403307e-68	BEC
Enpp2	8.408952025817761e-39	-0.4477780288082399	0.626	0.691	1.7703366699954134e-34	2.0969877908858715e-67	-0.5160770491240074	0.679	0.822	4.4147883961520255e-63	8.408952025817761e-39	4.193975581771748e-67	BEC
Ptp4a3	2.22779590516057e-67	-0.45339235539485656	0.184	0.476	4.690178719134548e-63	9.256677285338325e-50	-0.3281513798935788	0.218	0.505	1.9488082688822775e-45	9.256677285338325e-50	4.455591810321105e-67	BEC
Tcn2	2.5113305131429604e-52	-0.40282882476590354	0.255	0.495	5.287104129319874e-48	3.5205370322010754e-67	-0.43060684052563614	0.261	0.569	7.411786613892924e-63	2.5113305131429604e-52	7.041074064402086e-67	BEC
Marc2	6.665922120630432e-67	-0.5434921762091421	0.575	0.71	1.4033765840563247e-62	2.298137878391792e-59	-0.5145157104575966	0.583	0.708	4.838269675378239e-55	2.298137878391792e-59	1.3331844241260795e-66	BEC
Apoe	3.115555515027796e-20	-0.3212409218644481	0.799	0.784	6.559179025788019e-16	7.625166868385655e-65	-0.475846340421231	0.848	0.942	1.605326380801232e-60	3.115555515027796e-20	1.5250333736771462e-64	BEC
Uqcrh	7.00072549379642e-45	-0.36835692901193706	0.673	0.698	1.4738627382089603e-40	1.3340136465358366e-64	-0.41209258181324193	0.732	0.787	2.808498930051897e-60	7.00072549379642e-45	2.668027293071656e-64	BEC
Gtf2i	1.8984906779144336e-64	-0.35544899425366694	0.172	0.447	3.996892424213257e-60	3.921557365386757e-58	-0.3432299615373252	0.216	0.511	8.25605472134874e-54	3.921557365386757e-58	3.796981355828904e-64	BEC
Grcc10	2.6986905469809556e-64	-0.5368225018288522	0.407	0.619	5.681553208559006e-60	4.939720822413473e-52	-0.45784033537389124	0.48	0.669	1.0399594247427084e-47	4.939720822413473e-52	5.397381093961849e-64	BEC
Tecr	8.116903827842446e-51	-0.288458876606395	0.166	0.41	1.7088517628756701e-46	3.0123279059578303e-64	-0.32977555485013343	0.183	0.485	6.34185394041302e-60	8.116903827842446e-51	6.024655811915606e-64	BEC
Sparcl1	6.288102193489748e-64	-0.6384512955217253	0.589	0.7	1.3238341547953967e-59	2.6594424271801997e-27	-0.40520958231078985	0.634	0.669	5.598924141942474e-23	2.6594424271801997e-27	1.2576204386979587e-63	BEC
Ctsa	8.629739801409165e-52	-0.29400075268744047	0.163	0.405	1.8168191203906715e-47	7.017349986512003e-64	-0.3011869086716035	0.178	0.482	1.477362692660372e-59	8.629739801409165e-52	1.4034699973023985e-63	BEC
Spr	3.406775870743381e-52	-0.3189154088541203	0.185	0.434	7.172285240676041e-48	1.7697034976611444e-62	-0.2956436177328041	0.186	0.487	3.725756773626007e-58	3.406775870743381e-52	3.539406995322302e-62	BEC
Timp2	2.1088345485999435e-33	-0.3709559884203054	0.223	0.426	4.439729375167461e-29	7.673865040671255e-62	-0.5238828098189471	0.251	0.547	1.6155788070125193e-57	2.1088345485999435e-33	1.5347730081342439e-61	BEC
Mtss1	7.974911916040465e-62	-0.33552262042872427	0.163	0.44	1.678958205683999e-57	5.357377320274587e-44	-0.2723275479734286	0.222	0.491	1.1278886472374088e-39	5.357377320274587e-44	1.5949823832081044e-61	BEC
BC028528	3.3413297593632126e-61	-0.534540491734453	0.315	0.571	7.034501542387371e-57	8.38283845096872e-44	-0.4674166813855597	0.371	0.59	1.7648389790824446e-39	8.38283845096872e-44	6.682659518726464e-61	BEC
Mmp15	1.0643679037118937e-60	-0.37533336770291914	0.189	0.462	2.2408137476846497e-56	4.2369229555678616e-48	-0.28538565880370015	0.211	0.48	8.919993898357019e-44	4.2369229555678616e-48	2.1287358074237882e-60	BEC
Nfic	8.090999805680741e-60	-0.4818525358882956	0.301	0.544	1.7033981890899664e-55	6.1388790137533056e-30	-0.3123162283058792	0.364	0.549	1.2924181987654834e-25	6.1388790137533056e-30	1.6181999611361627e-59	BEC
