gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	subtype
Tle5	6.3144986634885226e-86	-0.6746346192047888	0.478	0.944	1.3168886962705314e-81	1.0974414544368302e-47	-0.6343634642749708	0.559	0.927	2.2887141532280093e-43	2.6311447627417347e-37	-0.6579851934971461	0.356	0.882	5.487252402697888e-33	2.6311447627417347e-37	1.8943495990465282e-85	CD34+ SC
Angptl2	9.857507984401057e-71	-0.644003795564843	0.26	0.791	2.0557832901468405e-66	2.9923197766384654e-37	-0.577203424762561	0.331	0.771	6.24048289417952e-33	1.0761009905138833e-42	-0.6305953386035377	0.162	0.701	2.2442086157167037e-38	2.9923197766384654e-37	2.95725239532032e-70	CD34+ SC
Klf13	3.1958820936014044e-37	-0.275827949595009	0.563	0.602	6.665012106205728e-33	4.24482062966583e-72	-0.35485313484895487	0.526	0.651	8.852573423168088e-68	1.119397467494723e-61	-0.30070395912262693	0.556	0.613	2.334503418460245e-57	3.1958820936014044e-37	1.2734461888997464e-71	BEC
Htra3	3.5129396654525526e-97	-0.8824942975023196	0.355	0.926	7.3262356723012985e-93	4.730755753607038e-42	-0.759479003900436	0.405	0.81	9.865991124147478e-38	5.251860697292019e-37	-0.6790723454937839	0.296	0.819	1.0952755484202505e-32	5.251860697292019e-37	1.0538818996357609e-96	CD34+ SC
Ndufc2	5.640830405869262e-37	-0.27599060349180327	0.563	0.692	1.1763951811440347e-32	1.9303607859278347e-51	-0.31870664660060344	0.52	0.706	4.025767419052499e-47	1.875871395457343e-46	-0.2718695181918015	0.465	0.679	3.9121297952262886e-42	5.640830405869262e-37	5.791082357783527e-51	PvC
Aurkb	7.274430805881666e-101	-0.38967479983986975	0.005	0.299	1.5170825445666215e-96	5.643702439873312e-37	-0.25565207589484756	0.005	0.182	1.1769941438355792e-32	1.5289147469674847e-64	-0.3633285765579304	0.009	0.277	3.188551704800689e-60	5.643702439873312e-37	2.1823292417644702e-100	Cxcl9+ TRC
St3gal6	6.184775638196079e-37	-0.3054225130040792	0.48	0.539	1.2898349593457923e-32	5.976798126925802e-94	-0.4238921102694399	0.435	0.61	1.246461249370376e-89	1.0397475026431339e-66	-0.32433525620989617	0.454	0.559	2.168393416762256e-62	6.184775638196079e-37	1.7930394380777572e-93	BEC
Selenom	1.888724035485895e-87	-0.6216356338431657	0.713	0.98	3.938933976005834e-83	1.9790439486618107e-48	-0.5429208362395961	0.793	0.983	4.1272961549342063e-44	6.497867530580425e-37	-0.6768092748671368	0.591	0.921	1.3551302735025476e-32	6.497867530580425e-37	5.6661721064576165e-87	CD34+ SC
Siva1	2.14587461423332e-46	-0.412495459931125	0.202	0.656	4.475221507983589e-42	1.6374167341975163e-41	-0.5179453870619181	0.16	0.648	3.41483259916892e-37	8.715760723519627e-37	-0.4830266915478973	0.144	0.638	1.8176718988900183e-32	8.715760723519627e-37	6.437623842699968e-46	CD34+ SC
Pmm1	1.6670690255755372e-44	-0.34453911074212845	0.076	0.474	3.4766724528377828e-40	8.796167807987672e-42	-0.4037457863331158	0.076	0.536	1.834440796355829e-37	9.09488292536458e-37	-0.400318244217125	0.083	0.52	1.8967378340847832e-32	9.09488292536458e-37	5.001207076726585e-44	CD34+ SC
Syne2	1.90149084482615e-49	-0.33651223730220714	0.34	0.596	3.965559156884936e-45	9.61693936021229e-37	-0.286906426417636	0.367	0.602	2.005612703572273e-32	4.9393560072446126e-82	-0.3661090517658272	0.281	0.601	1.030102695310864e-77	9.61693936021229e-37	1.48180680217338e-81	PvC
Ifngr2	1.101879835379844e-36	-0.305864642025663	0.361	0.553	2.2979703966846647e-32	4.1625445434073646e-52	-0.3552293963636583	0.332	0.577	8.680986645276058e-48	2.267009813108124e-83	-0.3942030456421347	0.302	0.59	4.727848965236993e-79	1.101879835379844e-36	6.801029439324434e-83	PvC
