gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	subtype
Plaur	0	0.8833383108354369	0.706	0.17	0	0	0.9591474057822795	0.734	0.204	0	0	0.7512769417105378	0.669	0.18	0	0	0	BEC
Isg20	0	1.1824370323964362	0.795	0.134	0	0	1.2421665713969685	0.802	0.108	0	0	1.134507221998955	0.796	0.09	0	0	0	BEC
Trim30a	0	0.826065179427877	0.839	0.45	0	0	0.8290648461529885	0.83	0.462	0	0	0.9474363743224028	0.866	0.394	0	0	0	BEC
Ifitm3	0	0.37387831338182886	0.999	0.969	0	0	0.3709329719484513	0.998	0.977	0	0	0.424645348339145	0.999	0.958	0	0	0	BEC
Irf7	0	1.2366087472230918	0.914	0.381	0	0	1.2823682434277215	0.912	0.372	0	0	1.2506246783246737	0.923	0.346	0	0	0	BEC
Bst2	0	0.6796875365509942	0.982	0.809	0	0	0.6580982021690984	0.979	0.848	0	0	0.7583086584123113	0.986	0.783	0	0	0	BEC
Irf8	0	0.9091072548606297	0.747	0.196	0	0	0.8366366636673043	0.739	0.244	0	0	0.8517076613333718	0.749	0.207	0	0	0	BEC
Ppa1	0	0.8505905893008713	0.738	0.202	0	0	0.8520419362658431	0.732	0.215	0	0	0.7412826517525003	0.722	0.211	0	0	0	BEC
Upp1	0	0.9484228602605296	0.872	0.483	0	0	0.8752083955564084	0.887	0.548	0	0	0.88915124702972	0.88	0.49	0	0	0	BEC
Irgm1	0	1.0307626556461318	0.877	0.376	0	0	0.9932960858444274	0.884	0.429	0	0	1.0656949115373837	0.885	0.353	0	0	0	BEC
Tgtp1	0	0.8333028665938567	0.737	0.181	0	0	0.8276932321446202	0.743	0.239	0	0	0.8153720085464649	0.726	0.135	0	0	0	BEC
Ifi47	0	0.8400696781512927	0.839	0.421	0	0	0.7748127266464994	0.843	0.49	0	0	0.8659982153059509	0.842	0.378	0	0	0	BEC
Igtp	0	1.2235988929057129	0.865	0.237	0	0	1.1072715260091157	0.853	0.307	0	0	1.2764076420003694	0.883	0.204	0	0	0	BEC
Lgals9	0	0.8676031053298319	0.92	0.6	0	0	0.9177234388256547	0.914	0.607	0	0	1.0068566455096337	0.933	0.548	0	0	0	BEC
Ccl2	0	1.1085291758817475	0.819	0.112	0	0	0.8823836271151216	0.816	0.191	0	0	1.136562984519225	0.881	0.146	0	0	0	BEC
Slfn2	0	1.0440672971975509	0.784	0.204	0	0	1.1090469364064035	0.798	0.216	0	0	1.0558880257105718	0.808	0.202	0	0	0	BEC
Rnf213	0	0.8277862702102096	0.829	0.456	0	0	0.8039365569767013	0.816	0.479	0	0	0.9683983260717863	0.872	0.415	0	0	0	BEC
Rsad2	0	1.3170513505051495	0.909	0.352	0	0	1.5096906930412608	0.918	0.294	0	0	1.4383912703244817	0.924	0.281	0	0	0	BEC
Cmpk2	0	0.9522282029233066	0.786	0.263	0	0	1.0919673465018713	0.787	0.2	0	0	1.0380369300238717	0.811	0.215	0	0	0	BEC
Serpina3f	0	1.010836565435114	0.698	0.109	0	0	1.0114082934202195	0.696	0.143	0	0	1.103173682185667	0.753	0.094	0	0	0	BEC
